name,ssn,accountType,initialBalance
Beth Frapwell,376-87-5752,Savings,16075
Kelly Dumphry,782-39-9143,Savings,13959
Eugen Sterricker,357-51-7310,Checking,8939
Maximilien Blease,570-15-0822,Savings,24180
Dorolisa Kollasch,108-08-5839,Checking,3881
Elfrieda Regenhardt,654-36-4464,Checking,11167
Lek Huleatt,370-46-8876,Savings,8081
Adler MacIlraith,100-62-3038,Checking,5149
Sharia Bartlomieczak,634-52-9135,Checking,7706
Arnold Loges,663-04-9632,Checking,10218
Giorgia Mowatt,837-23-1189,Savings,3880
Annabal Pinwell,893-84-7014,Savings,7348
Celisse Bynert,724-04-1244,Checking,5695
Cinda Scoon,793-61-7391,Checking,17227
Alfonso Millmore,736-41-4887,Savings,20940
//
